,id,proper,ra,dec,spect,hip,hd,hr,gl,bf,con,mag,dist,lum,rasc,dist_ly
0,0,Sol,0,0,G2V,,,,,,,-26.7,0,1,0,0
1,32263,Sirius,6.752481,-16.716116,A0m...,32349,48915,2491,Gl 244A,9Alp CMa,CMa,-1.44,2.6371,22.82443312,101.287215,8.601059876
2,30365,Canopus,6.399195,-52.69566,F0Ib,30438,45348,2326,,Alp Car,Car,-0.62,94.7867,13854.79168,95.987925,309.1525093
3,69451,Arcturus,14.26103,19.18241,K2IIIp,69673,124897,5340,Gl 541,16Alp Boo,Boo,-0.05,11.2575,115.5579955,213.91545,36.7170117
4,71456,Rigil Kentaurus,14.660765,-60.833976,G2V,71683,128620,5459,Gl 559A,Alp1Cen,Cen,-0.01,1.3248,1.543121066,219.911475,4.320914688
5,90979,Vega,18.61564,38.783692,A0Vvar,91262,172167,7001,Gl 721,3Alp Lyr,Lyr,0.03,7.6787,49.93441887,279.2346,25.04454077
6,24549,Capella,5.27815,45.997991,M1: comp,24608,34029,1708,Gl 194A,13Alp Aur,Aur,0.08,13.1234,139.3156803,79.17225,42.8027565
7,24378,Rigel,5.242298,-8.20164,B8Ia,24436,34085,1713,,19Bet Ori,Ori,0.18,264.5503,51665.42426,78.63447,862.8466765
8,37173,Procyon,7.655033,5.224993,F5IV-V,37279,61421,2943,Gl 280A,10Alp CMi,CMi,0.4,3.5142,7.440463662,114.825495,11.46177415
9,7574,Achernar,1.628556,-57.236757,B3Vp,7588,10144,472,,Alp Eri,Eri,0.45,42.7533,1051.961874,24.42834,139.4424531
10,27919,Betelgeuse,5.919529,7.407063,M2Ib,27989,39801,2061,,58Alp Ori,Ori,0.45,152.6718,13415.28798,88.792935,497.948236
11,68483,Hadar,14.063729,-60.373039,B1III,68702,122451,5267,,Bet Cen,Cen,0.61,120.1923,7171.334827,210.955935,392.014398
12,97338,Altair,19.846388,8.868322,A7IV-V,97649,187642,7557,Gl 768,53Alp Aql,Aql,0.76,5.1295,11.37627286,297.69582,16.73017202
13,60530,Acrux,12.443311,-63.099092,B0.5IV,60718,108248,4730,,Alp1Cru,Cru,0.77,98.7167,4176.37993,186.649665,321.9704401
14,21368,Aldebaran,4.598677,16.509301,K5III,21421,29139,1457,Gl 171.1A,87Alp Tau,Tau,0.87,20.4332,163.2300073,68.980155,66.64410779
